,ARP_spoofing,BENIGN,DDoS_ICMP,DDoS_SYN,DDoS_TCP,DDoS_UDP,DDoS_connect_flood,DDoS_publish_flood,DoS_ICMP,DoS_SYN,DoS_TCP,DoS_UDP,DoS_connect_flood,DoS_publish_flood,Malformed_data,OS_scan,Ping_sweep,Port_scan,Recon_VulScan
ARP_spoofing,1151,534,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,3
BENIGN,2894,34111,0,0,2,0,0,0,0,0,0,12,0,0,7,2,0,578,1
DDoS_ICMP,0,2,347529,1,3,81,2,3,2067,0,4,7,0,0,0,0,0,0,0
DDoS_SYN,0,2,1,168040,4,172,4,162,111,3786,53,48,0,13,0,0,0,1,0
DDoS_TCP,0,0,0,0,182185,75,1,2,0,8,323,4,0,0,0,0,0,0,0
DDoS_UDP,0,6,3,7,14,330948,2,1,63,2,65,30956,0,3,0,0,0,0,0
DDoS_connect_flood,0,2,0,2,0,0,41706,9,0,2,0,0,194,0,1,0,0,0,0
DDoS_publish_flood,0,4,0,1,21,2,9,1522,0,1,22,0,0,6834,0,0,0,0,0
DoS_ICMP,0,0,96568,1,0,87,4,6,1633,2,63,61,0,7,0,0,0,0,0
DoS_SYN,0,0,1,73345,12,0,2,4,0,25222,0,0,0,0,0,0,0,9,0
DoS_TCP,0,0,0,0,80362,1,0,0,1,0,1732,0,0,0,0,0,0,0,0
DoS_UDP,0,0,1,2,0,109645,0,1,7,2,12,27879,0,1,0,0,0,0,0
DoS_connect_flood,0,0,0,0,0,0,613,14,0,0,0,0,2504,0,0,0,0,0,0
DoS_publish_flood,0,1,1,0,33,0,0,30,0,0,8,0,0,8432,0,0,0,0,0
Malformed_data,180,965,0,0,0,0,11,0,0,0,0,2,0,0,570,4,0,15,0
OS_scan,2,565,0,0,0,0,0,0,0,0,0,0,0,0,24,23,0,3220,0
Ping_sweep,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
Port_scan,580,301,0,1,0,0,0,0,0,0,0,0,0,0,0,33,0,21707,0
Recon_VulScan,4,602,0,0,0,0,0,0,0,0,0,1,0,0,3,91,0,333,0
