,precision,recall,f1-score,support
ARP_spoofing,0.2392434005404282,0.6599770642201835,0.3511823035850496,1744.0
BENIGN,0.9163219255359157,0.9070385832424814,0.9116566220784947,37607.0
DDoS_ICMP,0.7825396753913497,0.993794663410533,0.8756051564430973,349699.0
DDoS_SYN,0.696106048053024,0.9747269384038005,0.8121856852514638,172397.0
DDoS_TCP,0.6936787036049894,0.9977382008565263,0.8183786503276929,182598.0
DDoS_UDP,0.7504302613767003,0.9140442455878698,0.8241958158641531,362070.0
DDoS_connect_flood,0.9847003824904378,0.9949899799599199,0.9898184407262371,41916.0
DDoS_publish_flood,0.8677309007981756,0.18084600760456274,0.2993117010816126,8416.0
DoS_ICMP,0.42065945388974757,0.016590133289986996,0.031921340188048555,98432.0
DoS_SYN,0.8689750215331611,0.25581418936051525,0.3952671994985112,98595.0
DoS_TCP,0.7589833479404031,0.021097251997661274,0.04105335513996539,82096.0
DoS_UDP,0.47275779620491426,0.20268266085059977,0.2837254033920039,137550.0
DoS_connect_flood,0.9280948851000741,0.79974449057809,0.8591525132955911,3131.0
DoS_publish_flood,0.5514715500327011,0.9914168136390359,0.7087203193948308,8505.0
Malformed_data,0.9421487603305785,0.3262736119061248,0.4846938775510204,1747.0
OS_scan,0.1503267973856209,0.005998956703182056,0.011537496864810634,3834.0
Ping_sweep,0.0,0.0,0.0,186.0
Port_scan,0.8357525122242329,0.9595526478649102,0.8933840930136845,22622.0
Recon_VulScan,0.0,0.0,0.0,1034.0
accuracy,0.7414877779973597,0.7414877779973597,0.7414877779973597,0.7414877779973597
macro avg,0.6242063906543397,0.5369645494461044,0.504831051247172,1614179.0
weighted avg,0.7177844184537693,0.7414877779973597,0.6735943632734588,1614179.0
