,precision,recall,f1-score,support
ARP_spoofing,0.10765472312703583,0.7580275229357798,0.18853394181403307,1744.0
BENIGN,0.9767754835236667,0.6754859467652299,0.7986606721790801,37607.0
DDoS_ICMP,0.8322339340360422,0.3499581068290158,0.4927236894286652,349699.0
DDoS_SYN,0.6325548455632636,0.4559244070372454,0.5299084795469485,172397.0
DDoS_TCP,0.7610494594853152,0.17426806427233596,0.2835969876565215,182598.0
DDoS_UDP,0.7250096483901993,0.9806142458640594,0.8336595095733803,362070.0
DDoS_connect_flood,0.9964115992629231,0.9804370646054013,0.9883597883597883,41916.0
DDoS_publish_flood,0.8198642813078346,0.15791349809885932,0.2648201653880642,8416.0
DoS_ICMP,0.24436534997640458,0.7470233257477243,0.36826447771061105,98432.0
DoS_SYN,0.36201808858064205,0.5362949439626756,0.4322512609644641,98595.0
DoS_TCP,0.3235216360695258,0.8794581952835705,0.4730316282574157,82096.0
DoS_UDP,0.2942329516145672,0.020734278444202107,0.038738683672568476,137550.0
DoS_connect_flood,0.7741602067183463,0.9568827850526989,0.8558777317526067,3131.0
DoS_publish_flood,0.5330739299610895,0.9987066431510876,0.6951184582020541,8505.0
Malformed_data,0.3906991458399241,0.7069261591299371,0.5032599837000815,1747.0
OS_scan,0.24543985222812284,0.27725612936880545,0.26037966932026946,3834.0
Ping_sweep,0.2092426187419769,0.8763440860215054,0.3378238341968912,186.0
Port_scan,0.8870638546020021,0.8069136239059322,0.8450925925925926,22622.0
Recon_VulScan,0.20491803278688525,0.33849129593810445,0.2552881108679796,1034.0
accuracy,0.5519933043361362,0.5519933043361362,0.5519933043361362,0.5519933043361362
macro avg,0.5431731390429351,0.6146137011796933,0.49712577185179035,1614179.0
weighted avg,0.6460352507456639,0.5519933043361362,0.5230218286887036,1614179.0
