,ARP_spoofing,BENIGN,DDoS_ICMP,DDoS_SYN,DDoS_TCP,DDoS_UDP,DDoS_connect_flood,DDoS_publish_flood,DoS_ICMP,DoS_SYN,DoS_TCP,DoS_UDP,DoS_connect_flood,DoS_publish_flood,Malformed_data,OS_scan,Ping_sweep,Port_scan,Recon_VulScan
ARP_spoofing,560,827,0,0,0,0,0,0,0,0,0,1,0,0,3,1,60,292,0
BENIGN,1471,34077,0,0,1,20,2,0,1,0,0,4,0,0,32,19,1253,727,0
DDoS_ICMP,0,1,349461,0,2,0,0,1,134,1,4,8,0,0,0,0,87,0,0
DDoS_SYN,1,1,6,165757,3,34,10,107,113,6079,28,12,1,7,0,1,226,11,0
DDoS_TCP,0,4,0,0,182196,0,0,0,2,2,267,13,0,8,0,0,106,0,0
DDoS_UDP,0,5,2,2,15,288638,2,1,62,6,37,73276,0,3,0,0,21,0,0
DDoS_connect_flood,0,0,0,1,1,0,41696,0,0,1,0,0,215,0,2,0,0,0,0
DDoS_publish_flood,1,0,0,0,2,0,6,497,0,0,0,0,0,5373,0,0,2537,0,0
DoS_ICMP,0,0,97776,0,3,4,0,0,413,1,33,18,0,4,0,0,180,0,0
DoS_SYN,0,0,0,68168,11,0,14,2,0,30379,0,0,0,0,0,0,0,21,0
DoS_TCP,0,7,0,0,80291,0,0,0,0,0,1790,0,0,8,0,0,0,0,0
DoS_UDP,0,0,0,1,1,86690,1,0,5,3,9,50838,0,1,0,0,1,0,0
DoS_connect_flood,0,0,0,0,0,0,507,2,0,0,0,0,2622,0,0,0,0,0,0
DoS_publish_flood,0,0,0,0,12,0,0,7,0,0,1,0,0,7093,0,0,1392,0,0
Malformed_data,9,1180,0,1,0,0,10,0,0,0,0,0,0,0,449,2,70,26,0
OS_scan,0,449,0,0,0,0,1,0,0,0,0,0,0,0,40,13,82,3249,0
Ping_sweep,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,165,0,0
Port_scan,138,558,0,0,0,0,0,0,0,0,0,1,0,0,2,3,10,21910,0
Recon_VulScan,0,519,0,0,0,0,0,0,0,0,0,1,0,0,6,4,74,430,0
