,precision,recall,f1-score,support
ARP_spoofing,0.25688073394495414,0.3211009174311927,0.2854230377166157,1744.0
BENIGN,0.9051476838079048,0.9061344962374026,0.9056408212078931,37607.0
DDoS_ICMP,0.7813636820981789,0.9993194146966391,0.8770026501234717,349699.0
DDoS_SYN,0.7085752148078485,0.9614842485658103,0.8158798209324017,172397.0
DDoS_TCP,0.6939795382001843,0.9977984424802024,0.8186082455698932,182598.0
DDoS_UDP,0.7689098687750742,0.7971883889855553,0.7827938209194854,362070.0
DDoS_connect_flood,0.9869109328031432,0.9947514075770589,0.990815659716034,41916.0
DDoS_publish_flood,0.8055105348460292,0.059054182509505705,0.1100409609210672,8416.0
DoS_ICMP,0.5649794801641587,0.004195789986996099,0.008329719754343858,98432.0
DoS_SYN,0.8329403377933757,0.308119072975303,0.44983600731488815,98595.0
DoS_TCP,0.8252650991240202,0.021803741960631454,0.042485017504301906,82096.0
DoS_UDP,0.4094159713945173,0.3695965103598691,0.3884885489183179,137550.0
DoS_connect_flood,0.9238900634249472,0.8374321303098051,0.8785391187803652,3131.0
DoS_publish_flood,0.5675762182923901,0.8339800117577896,0.6754594800495191,8505.0
Malformed_data,0.8408239700374532,0.25701202060675443,0.3936869793950022,1747.0
OS_scan,0.3023255813953488,0.003390714658320292,0.0067062161465050295,3834.0
Ping_sweep,0.026340996168582376,0.8870967741935484,0.05116279069767442,186.0
Port_scan,0.8216455411385285,0.968526213420564,0.8890602174971596,22622.0
Recon_VulScan,0.0,0.0,0.0,1034.0
accuracy,0.7301259649642325,0.7301259649642325,0.7301259649642325,0.7301259649642325
macro avg,0.6327621814850862,0.5541044462480499,0.49315574279815466,1614179.0
weighted avg,0.7272386241666005,0.7301259649642325,0.6744510160527136,1614179.0
