experiment,status,test_loss,test_accuracy,macro_f1,weighted_f1,error
cnn_transformer_binary_augTrue_cwTrue_win4,success,0.013245576061308384,0.9956188254214682,0.9535384453989206,0.9956948675848625,
cnn_transformer_binary_augTrue_cwFalse_win4,success,0.014336960390210152,0.9952464999234906,0.9494096886758421,0.9953208126009703,
cnn_transformer_binary_augFalse_cwTrue_win4,success,0.016437062993645668,0.9958220246949068,0.957741080905173,0.995987439609173,
cnn_transformer_binary_augFalse_cwFalse_win4,success,0.008843513205647469,0.9957501615372273,0.9532142571063874,0.9957458502445538,
cnn_transformer_6class_augTrue_cwTrue_win4,success,0.6397884488105774,0.6087075844748321,0.6875491394269183,0.628475179093261,
cnn_transformer_6class_augTrue_cwFalse_win4,success,0.6647436618804932,0.7358545737492558,0.6353589272703125,0.6934919944424633,
cnn_transformer_6class_augFalse_cwTrue_win4,success,0.619230329990387,0.6487874021406548,0.6709701914744163,0.6555082214450344,
cnn_transformer_6class_augFalse_cwFalse_win4,success,0.275909423828125,0.8849179675859988,0.7678983944421751,0.881335682290454,
cnn_transformer_19class_augTrue_cwTrue_win4,success,0.7071032524108887,0.5292411808108023,0.47875311081639277,0.4956093110605952,
cnn_transformer_19class_augTrue_cwFalse_win4,success,0.6212162375450134,0.7301259649642325,0.49315574279815466,0.6744510160527136,
cnn_transformer_19class_augFalse_cwTrue_win4,success,0.6925504207611084,0.5519933043361362,0.49712577185179035,0.5230218286887036,
cnn_transformer_19class_augFalse_cwFalse_win4,success,0.6065564751625061,0.7414877779973597,0.504831051247172,0.6735943632734588,
