,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,6,35,472,237,294,431,44,1,1,53,2,118,4,17,1,0,0,28,0
1,127,840,10464,5278,6110,8952,958,35,26,1101,37,2642,74,357,14,11,3,578,0
2,1154,8264,96889,48330,57101,83338,9121,319,194,10180,372,24482,704,3479,160,76,27,5509,0
3,545,4028,47696,23897,27940,41640,4345,161,87,4969,169,12193,332,1625,59,36,10,2665,0
4,588,4164,50812,25178,29858,43751,4773,180,88,5223,178,12769,389,1720,82,28,17,2800,0
5,1139,8454,100415,50104,58828,86974,9448,336,228,10309,331,25395,804,3443,154,82,28,5598,0
6,127,956,11516,5932,6901,10081,1065,41,30,1207,49,2831,84,413,10,10,4,659,0
7,33,193,2215,1234,1402,2037,217,7,2,227,7,598,16,83,5,1,0,139,0
8,311,2278,27058,13703,16238,23434,2530,89,66,2903,95,6985,194,944,28,18,5,1553,0
9,296,2246,27446,13504,16210,23704,2529,90,59,2945,103,6787,200,902,23,20,8,1523,0
10,266,1918,22611,11522,13482,19587,2115,80,41,2386,94,5714,156,812,31,19,12,1250,0
11,427,3178,38146,19184,22477,32864,3526,132,83,3954,138,9570,275,1320,57,33,15,2174,0
12,14,80,840,458,522,777,55,6,4,81,2,212,13,24,0,0,0,43,0
13,25,183,2311,1223,1415,2030,235,10,6,258,6,578,10,88,4,0,0,123,0
14,10,39,470,278,271,425,50,3,0,34,3,111,4,22,1,0,0,26,0
15,9,96,1018,523,652,932,102,3,1,122,5,280,7,32,3,2,0,47,0
16,1,4,47,40,22,32,5,0,0,9,0,23,0,0,0,0,0,3,0
17,64,537,6212,3064,3793,5549,579,17,6,632,23,1532,46,212,5,6,1,344,0
18,2,36,309,138,160,236,21,0,0,33,1,65,0,13,1,0,0,19,0
