,precision,recall,f1-score,support
ARP_spoofing,0.0,0.0,0.0,10.0
BENIGN,0.0,0.0,0.0,10.0
DDoS_ICMP,0.0,0.0,0.0,13.0
DDoS_SYN,0.0,0.0,0.0,11.0
DDoS_TCP,0.058823529411764705,0.07142857142857142,0.06451612903225806,14.0
DDoS_UDP,0.11428571428571428,0.23529411764705882,0.15384615384615385,17.0
DDoS_connect_flood,0.0,0.0,0.0,17.0
DDoS_publish_flood,0.07142857142857142,0.18181818181818182,0.10256410256410256,11.0
DoS_ICMP,0.0,0.0,0.0,16.0
DoS_SYN,0.0,0.0,0.0,13.0
DoS_TCP,0.0,0.0,0.0,13.0
DoS_UDP,0.058823529411764705,0.08333333333333333,0.06896551724137931,12.0
DoS_connect_flood,0.0,0.0,0.0,10.0
DoS_publish_flood,0.0,0.0,0.0,13.0
Malformed_data,0.0,0.0,0.0,10.0
OS_scan,0.018518518518518517,0.09090909090909091,0.03076923076923077,11.0
Ping_sweep,0.03571428571428571,0.1,0.05263157894736842,10.0
Port_scan,0.0,0.0,0.0,19.0
Recon_VulScan,0.0,0.0,0.0,10.0
accuracy,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
macro avg,0.01882074467213786,0.040146489217696646,0.024910142757920684,240.0
weighted avg,0.02007845730884946,0.041666666666666664,0.02641324618697138,240.0
