,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,0,2,1,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0
1,0,0,0,0,1,1,1,0,4,0,0,0,0,1,0,2,0,0,0
2,0,1,0,0,2,1,2,0,2,0,0,0,0,3,0,1,1,0,0
3,0,1,0,1,2,2,1,0,1,1,0,0,0,0,0,1,1,0,0
4,1,0,0,1,4,1,3,0,1,1,0,0,0,0,1,0,1,0,0
5,1,1,0,0,0,3,1,1,1,1,0,0,0,2,0,6,0,0,0
6,3,0,0,1,0,1,1,0,1,0,0,0,0,3,0,4,3,0,0
7,0,0,2,0,0,1,3,0,0,1,0,0,0,2,0,2,0,0,0
8,3,0,0,1,2,1,2,0,1,0,0,0,0,1,0,3,1,0,1
9,1,1,1,0,5,1,1,0,1,1,1,0,0,0,0,0,0,0,0
10,0,0,1,0,0,3,2,0,0,3,0,0,0,1,0,3,0,0,0
11,1,2,0,0,4,0,1,0,1,2,0,0,0,1,0,0,0,0,0
12,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,1,2,0,0
13,2,0,0,1,1,1,0,0,1,2,0,0,1,2,1,1,0,0,0
14,0,1,1,0,1,4,0,0,1,0,0,0,0,0,0,2,0,0,0
15,0,0,0,0,2,2,0,0,1,0,0,0,0,3,0,1,1,0,1
16,1,0,0,0,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0
17,3,1,0,0,2,3,5,0,2,1,0,0,0,1,1,0,0,0,0
18,0,2,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
