,precision,recall,f1-score,support
ARP_spoofing,0.0,0.0,0.0,10.0
BENIGN,0.0,0.0,0.0,10.0
DDoS_ICMP,0.0,0.0,0.0,13.0
DDoS_SYN,0.046875,0.2727272727272727,0.08,11.0
DDoS_TCP,0.08695652173913043,0.14285714285714285,0.10810810810810811,14.0
DDoS_UDP,0.0,0.0,0.0,17.0
DDoS_connect_flood,0.0,0.0,0.0,17.0
DDoS_publish_flood,0.0,0.0,0.0,11.0
DoS_ICMP,0.0,0.0,0.0,16.0
DoS_SYN,0.16666666666666666,0.07692307692307693,0.10526315789473684,13.0
DoS_TCP,0.0,0.0,0.0,13.0
DoS_UDP,0.06060606060606061,0.16666666666666666,0.08888888888888889,12.0
DoS_connect_flood,0.0,0.0,0.0,10.0
DoS_publish_flood,0.0,0.0,0.0,13.0
Malformed_data,0.05263157894736842,0.4,0.09302325581395349,10.0
OS_scan,0.0,0.0,0.0,11.0
Ping_sweep,0.0,0.0,0.0,10.0
Port_scan,0.0,0.0,0.0,19.0
Recon_VulScan,0.0,0.0,0.0,10.0
accuracy,0.05,0.05,0.05,0.05
macro avg,0.02177556989259085,0.05574600837758733,0.025014916352930912,240.0
weighted avg,0.021471964532337098,0.05,0.02399514079563039,240.0
