,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,5,37,390,194,179,385,56,3,106,114,79,160,3,12,0,0,0,21,0
1,129,822,8273,3894,4276,8429,959,41,2271,2322,1947,3142,76,350,31,0,65,580,0
2,1141,7530,75692,36948,39703,78576,9116,325,21317,21334,17997,29680,684,3335,162,0,678,5481,0
3,567,3681,37400,18422,19543,38825,4507,163,10496,10422,8804,14547,316,1597,73,0,311,2723,0
4,556,3908,39668,19680,20835,40992,4646,184,11089,11132,9195,15467,332,1682,87,0,354,2791,0
5,1140,7648,78501,38573,41105,81123,9423,327,22244,22206,18321,30979,714,3342,195,0,667,5562,0
6,138,947,9074,4440,4796,9461,1074,32,2472,2500,2132,3547,100,412,23,0,98,670,0
7,23,180,1863,852,935,1908,214,7,534,510,418,733,9,75,5,0,11,139,0
8,340,2065,21179,10503,11101,22153,2536,102,6030,6089,4954,8434,187,921,41,0,215,1582,0
9,307,2101,21300,10650,11004,22161,2602,93,5947,6081,5055,8400,199,932,37,0,195,1531,0
10,281,1736,17711,8742,9406,18433,2189,76,4997,4979,4053,7092,153,758,30,0,160,1300,0
11,435,2953,29887,14610,15818,30588,3553,124,8302,8327,7013,11852,255,1337,70,0,291,2138,0
12,13,71,688,325,356,682,68,2,215,183,176,264,5,35,1,0,5,42,0
13,28,205,1841,892,965,1899,214,9,532,538,446,704,10,65,6,0,14,137,0
14,7,37,391,200,197,398,32,2,98,106,88,150,3,16,0,0,2,20,0
15,12,80,832,410,429,844,104,3,239,249,199,330,2,37,0,0,6,58,0
16,0,6,52,19,13,45,3,0,10,8,8,17,0,1,0,0,0,4,0
17,95,507,4908,2393,2547,5075,614,21,1328,1423,1153,1884,44,207,12,0,40,371,0
18,1,22,242,98,120,234,35,1,64,65,48,79,3,5,0,0,0,17,0
