,precision,recall,f1-score,support
ARP_spoofing,0.0,0.0,0.0,10.0
BENIGN,0.0,0.0,0.0,10.0
DDoS_ICMP,0.027777777777777776,0.07692307692307693,0.04081632653061224,13.0
DDoS_SYN,0.0,0.0,0.0,11.0
DDoS_TCP,0.0,0.0,0.0,14.0
DDoS_UDP,0.07692307692307693,0.4117647058823529,0.12962962962962962,17.0
DDoS_connect_flood,0.04950495049504951,0.29411764705882354,0.0847457627118644,17.0
DDoS_publish_flood,0.0,0.0,0.0,11.0
DoS_ICMP,0.1111111111111111,0.0625,0.08,16.0
DoS_SYN,0.0,0.0,0.0,13.0
DoS_TCP,0.0,0.0,0.0,13.0
DoS_UDP,0.0,0.0,0.0,12.0
DoS_connect_flood,0.0,0.0,0.0,10.0
DoS_publish_flood,0.0,0.0,0.0,13.0
Malformed_data,0.0,0.0,0.0,10.0
OS_scan,0.0,0.0,0.0,11.0
Ping_sweep,0.0,0.0,0.0,10.0
Port_scan,0.0,0.0,0.0,19.0
Recon_VulScan,0.0,0.0,0.0,10.0
accuracy,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334
macro avg,0.013964048226685016,0.044489759466539644,0.017641669414321385,240.0
weighted avg,0.017867355645820992,0.058333333333333334,0.02272914131126399,240.0
