,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,0,1,1,0,0,4,0,2,0,0,0,0,1,0,1,0,0,0
1,0,0,0,2,0,0,2,0,1,0,0,1,1,1,0,1,1,0,0
2,0,0,0,0,0,0,6,0,1,0,0,2,0,1,0,2,0,0,1
3,1,0,1,1,0,0,1,1,0,0,0,4,0,1,0,0,0,1,0
4,0,0,0,3,0,0,4,0,2,0,0,0,0,0,0,2,0,0,3
5,0,0,1,2,0,0,5,1,0,0,0,0,0,5,0,3,0,0,0
6,0,0,0,2,0,0,6,0,0,0,0,3,0,0,0,4,1,0,1
7,0,0,0,1,0,1,3,0,1,0,0,2,0,0,0,2,1,0,0
8,0,0,1,2,0,0,5,0,1,0,0,3,0,0,0,3,1,0,0
9,2,0,0,1,0,1,1,0,2,0,0,0,1,1,0,3,0,0,1
10,0,0,0,0,0,0,6,0,1,0,0,2,0,1,0,0,0,0,3
11,0,0,0,1,0,0,2,0,0,0,0,5,0,1,0,1,0,0,2
12,0,0,0,2,0,0,3,0,1,0,0,1,1,0,0,0,2,0,0
13,1,0,0,1,0,0,2,0,1,0,0,2,1,0,0,2,1,0,2
14,0,0,1,1,0,0,4,0,2,0,0,0,0,1,0,0,0,0,1
15,0,0,0,0,0,1,3,0,0,0,0,1,2,2,0,2,0,0,0
16,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,2,1,0,1
17,0,0,1,1,0,0,5,1,4,0,0,2,2,0,0,2,1,0,0
18,2,0,1,1,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0
