,precision,recall,f1-score,support
ARP_spoofing,0.001076194575979337,0.0028669724770642203,0.001564945226917058,1744.0
BENIGN,0.022573217007751434,0.01850719280984923,0.020338983050847456,37607.0
DDoS_ICMP,0.21524649746823646,0.05944254916370936,0.09315843252545533,349699.0
DDoS_SYN,0.10573044658220293,0.13152201024379775,0.11722433617338075,172397.0
DDoS_TCP,0.11391074101078322,0.16256475974545176,0.13395669557840015,182598.0
DDoS_UDP,0.22510247676231165,0.12922363078962631,0.16419088927958564,362070.0
DDoS_connect_flood,0.025593195045515594,0.024549098196392786,0.025060276174472127,41916.0
DDoS_publish_flood,0.00651890482398957,0.001188212927756654,0.0020100502512562816,8416.0
DoS_ICMP,0.060841988786411366,0.2167384590377113,0.09501244772623019,98432.0
DoS_SYN,0.06119402985074627,0.03451493483442365,0.044136052657177134,98595.0
DoS_TCP,0.05005688282138794,0.002679789514714481,0.005087234509949012,82096.0
DoS_UDP,0.08488973665792976,0.1798870253647685,0.1153466950402879,137553.0
DoS_connect_flood,0.0012518255789693302,0.0019163206643244969,0.001514386673397274,3131.0
DoS_publish_flood,0.005618635139880604,0.011287477954144622,0.007502637646047438,8505.0
Malformed_data,0.0,0.0,0.0,1747.0
OS_scan,0.0019230769230769232,0.004434011476264998,0.00268265740886855,3834.0
Ping_sweep,0.0,0.0,0.0,186.0
Port_scan,0.015933996725028342,0.011183803377243392,0.013142857142857144,22622.0
Recon_VulScan,0.0010944910616563297,0.0029013539651837525,0.0015894039735099338,1034.0
accuracy,0.10640002180671077,0.10640002180671077,0.10640002180671077,0.10640002180671077
macro avg,0.05255559667483458,0.05238987381802249,0.04439573584413891,1614182.0
weighted avg,0.14001484387274155,0.10640002180671077,0.10463249988952958,1614182.0
