experiment,accuracy,macro_f1,weighted_f1
6class_augTrue_cwTrue,0.1625,0.11742026627477738,0.1648133386693259
6class_augTrue_cwFalse,0.25416666666666665,0.12591233977714192,0.17870415401749368
6class_augFalse_cwTrue,0.175,0.10654958917979011,0.15090076247954448
6class_augFalse_cwFalse,0.20416666666666666,0.13167077175697867,0.1849661330049261
binary_augTrue_cwTrue,0.9166666666666666,0.4782608695652174,0.9166666666666666
binary_augTrue_cwFalse,0.9583333333333334,0.48936170212765956,0.9379432624113474
binary_augFalse_cwTrue,0.9583333333333334,0.48936170212765956,0.9379432624113474
binary_augFalse_cwFalse,0.9583333333333334,0.48936170212765956,0.9379432624113474
19class_augTrue_cwTrue,0.07083333333333333,0.04206733512845197,0.04152751356302402
19class_augTrue_cwFalse,0.058333333333333334,0.017641669414321385,0.02272914131126399
19class_augFalse_cwTrue,0.05,0.025014916352930912,0.02399514079563039
19class_augFalse_cwFalse,0.041666666666666664,0.024910142757920684,0.02641324618697138
