,ARP_spoofing,BENIGN,DDoS_ICMP,DDoS_SYN,DDoS_TCP,DDoS_UDP,DDoS_connect_flood,DDoS_publish_flood,DoS_ICMP,DoS_SYN,DoS_TCP,DoS_UDP,DoS_connect_flood,DoS_publish_flood,Malformed_data,OS_scan,Ping_sweep,Port_scan,Recon_VulScan
ARP_spoofing,1322,106,0,0,0,0,0,0,0,0,0,0,0,0,76,6,19,1,214
BENIGN,9630,25403,0,0,0,0,0,0,0,0,2,1,0,0,1511,218,492,13,337
DDoS_ICMP,0,0,122380,4,104,0,0,6,227146,1,35,3,6,8,1,0,5,0,0
DDoS_SYN,2,0,0,78600,12,0,1,226,127,93177,87,2,26,121,2,6,0,8,0
DDoS_TCP,0,0,0,0,31821,0,0,4,0,0,150694,1,17,60,0,0,1,0,0
DDoS_UDP,0,0,0,2,2,355051,0,11,89,3,67,6830,1,14,0,0,0,0,0
DDoS_connect_flood,0,0,0,0,0,0,41096,18,0,1,0,0,797,0,4,0,0,0,0
DDoS_publish_flood,1,2,0,0,1,0,7,1329,1,0,13,0,2,7060,0,0,0,0,0
DoS_ICMP,1,0,24670,0,1,0,0,6,73531,0,63,3,0,157,0,0,0,0,0
DoS_SYN,0,0,0,45652,0,0,8,11,0,52876,0,0,18,0,0,8,0,20,2
DoS_TCP,0,0,0,0,9868,0,0,0,2,0,72200,1,0,17,0,0,8,0,0
DoS_UDP,0,0,0,0,3,134668,0,5,10,1,0,2852,7,3,0,0,1,0,0
DoS_connect_flood,0,0,0,0,0,0,132,3,0,0,0,0,2996,0,0,0,0,0,0
DoS_publish_flood,0,0,0,0,0,0,0,2,0,0,8,0,0,8494,1,0,0,0,0
Malformed_data,253,220,0,0,0,0,0,0,0,0,0,0,0,0,1235,8,25,0,6
OS_scan,252,90,0,0,0,0,0,0,0,0,0,0,0,0,190,1063,23,2138,78
Ping_sweep,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,163,0,0
Port_scan,558,120,0,0,0,0,0,0,0,0,0,0,0,0,26,2935,8,18254,721
Recon_VulScan,242,66,0,0,0,0,0,0,0,0,0,0,0,0,111,87,34,144,350
