,ARP_spoofing,BENIGN,DDoS_ICMP,DDoS_SYN,DDoS_TCP,DDoS_UDP,DDoS_connect_flood,DDoS_publish_flood,DoS_ICMP,DoS_SYN,DoS_TCP,DoS_UDP,DoS_connect_flood,DoS_publish_flood,Malformed_data,OS_scan,Ping_sweep,Port_scan,Recon_VulScan
ARP_spoofing,1266,156,0,0,0,0,0,0,0,0,0,0,0,0,66,8,1,1,246
BENIGN,8667,26411,0,0,0,0,0,0,0,0,0,1,1,0,1889,242,71,9,316
DDoS_ICMP,0,0,87216,0,80,0,1,5,262286,10,6,2,7,9,2,0,75,0,0
DDoS_SYN,3,0,0,75723,5,0,0,284,94,95951,27,9,87,131,3,18,62,0,0
DDoS_TCP,0,0,0,0,31789,0,0,1,0,0,150657,0,32,90,0,0,28,0,1
DDoS_UDP,2,2,0,0,0,352479,3,1,47,12,54,9426,11,21,3,0,9,0,0
DDoS_connect_flood,1,0,0,0,1,0,39681,61,0,1,0,0,2168,0,3,0,0,0,0
DDoS_publish_flood,0,1,0,0,0,0,4,1000,0,0,5,0,1,7398,1,0,6,0,0
DoS_ICMP,0,0,15725,0,0,0,0,6,82439,2,39,10,4,119,3,0,84,1,0
DoS_SYN,0,1,0,49405,0,0,5,26,0,49120,0,0,11,0,0,21,0,6,0
DoS_TCP,0,0,1,0,9958,0,0,0,2,0,72061,0,2,68,4,0,0,0,0
DoS_UDP,0,0,0,0,0,133107,0,2,5,1,3,4418,8,5,0,0,1,0,0
DoS_connect_flood,0,1,0,0,0,0,85,6,0,0,0,0,3039,0,0,0,0,0,0
DoS_publish_flood,0,0,0,0,0,0,0,1,0,0,3,0,0,8500,1,0,0,0,0
Malformed_data,175,167,0,0,0,0,0,0,0,0,0,0,0,0,1387,11,2,0,5
OS_scan,200,94,0,0,0,0,0,0,0,0,0,0,0,0,241,1320,2,1913,64
Ping_sweep,49,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,126,0,1
Port_scan,505,215,0,0,0,0,0,0,0,0,0,0,0,0,45,5419,0,15960,478
Recon_VulScan,231,53,0,0,0,0,0,0,0,0,0,0,0,0,154,104,3,134,355
