,precision,recall,f1-score,support
ARP_spoofing,0.11406433011983061,0.7259174311926605,0.19715019855174024,1744.0
BENIGN,0.974503726662239,0.7022894673863909,0.8163006691495773,37607.0
DDoS_ICMP,0.847234364982223,0.24940305805850174,0.3853650022865803,349699.0
DDoS_SYN,0.6051643117447734,0.4392361816040882,0.5090194101336022,172397.0
DDoS_TCP,0.7599024693423851,0.17409281591255107,0.2832852859007891,182598.0
DDoS_UDP,0.7258837775388911,0.9735106471124368,0.8316557660182904,362070.0
DDoS_connect_flood,0.9975363885467207,0.9466790724305755,0.9714425607442316,41916.0
DDoS_publish_flood,0.7178750897343862,0.1188212927756654,0.20389438270975635,8416.0
DoS_ICMP,0.23904161821888056,0.8375223504551366,0.3719290330585037,98432.0
DoS_SYN,0.3385321543519163,0.4981997058674375,0.4031318221361391,98595.0
DoS_TCP,0.323353750196316,0.8777650555447282,0.4726070745791947,82096.0
DoS_UDP,0.3186210875522862,0.032119229371137765,0.05835578802768532,137550.0
DoS_connect_flood,0.5658164215229938,0.9706164164803577,0.7148906139731828,3131.0
DoS_publish_flood,0.5201640046508782,0.9994121105232217,0.6842147629397086,8505.0
Malformed_data,0.36394647074258724,0.793932455638237,0.49910039582583665,1747.0
OS_scan,0.18479630407391853,0.3442879499217527,0.2405028696365127,3834.0
Ping_sweep,0.2680851063829787,0.6774193548387096,0.38414634146341464,186.0
Port_scan,0.8854860186418109,0.7055079126514013,0.7853171283767161,22622.0
Recon_VulScan,0.2421555252387449,0.34332688588007737,0.284,1034.0
accuracy,0.5292411808108023,0.5292411808108023,0.5292411808108023,0.5292411808108023
macro avg,0.5259033115918295,0.600529441770793,0.47875311081639277,1614179.0
weighted avg,0.6455512701367356,0.5292411808108023,0.4956093110605952,1614179.0
