,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1019,500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,110,114
1,2299,34247,0,0,0,0,0,0,0,0,0,1,0,0,1,31,3,1024,1
2,0,2,349602,0,6,89,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,2,57,171851,130,319,3,24,0,7,0,1,0,2,0,0,0,1,0
4,0,0,2,0,182500,95,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,91,27,34,361869,0,0,2,0,1,46,0,0,0,0,0,0,0
6,0,2,0,0,0,0,41879,4,0,3,0,0,27,0,1,0,0,0,0
7,0,1,0,0,0,0,8,1283,0,0,10,0,0,7114,0,0,0,0,0
8,0,0,149,0,3,1,0,0,98251,1,0,27,0,0,0,0,0,0,0
9,0,0,0,126,0,0,1,2,0,98463,0,0,0,0,0,0,0,3,0
10,0,0,0,0,123,0,0,0,0,0,81971,0,0,2,0,0,0,0,0
11,0,1,0,0,0,137,0,0,15,2,3,137394,0,1,0,0,0,0,0
12,0,0,0,0,0,0,36,4,0,0,1,0,3090,0,0,0,0,0,0
13,0,1,0,0,0,0,0,4,0,0,1,0,0,8499,0,0,0,0,0
14,86,951,0,0,0,0,0,0,0,0,0,0,0,0,705,3,1,1,0
15,0,537,0,1,0,0,0,1,0,0,0,0,0,0,18,165,1,3111,0
16,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0
17,384,371,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,21840,19
18,0,605,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,412,11
