,precision,recall,f1-score,support
ARP_spoofing,0.2675380101360363,0.5751146788990825,0.3651920626251593,1744.0
BENIGN,0.9188062732106121,0.9144574148429814,0.9166266858574551,37607.0
DDoS_ICMP,0.9991797515819076,0.9997369166054235,0.9994582564433893,349699.0
DDoS_SYN,0.999121965401948,0.9966762762693087,0.9978976223386338,172397.0
DDoS_TCP,0.9979656567866128,0.9993975837632395,0.998681106994511,182598.0
DDoS_UDP,0.9982510200084415,0.9994282873477505,0.9988393067859839,362070.0
DDoS_connect_flood,0.9992845559477249,0.9996659986639946,0.9994752409121267,41916.0
DDoS_publish_flood,0.9751552795031055,0.14923954372623574,0.2588623248145095,8416.0
DoS_ICMP,0.9998473670821674,0.998252600780234,0.9990493475066978,98432.0
DoS_SYN,0.99980706350657,0.9986206197068817,0.999213489417627,98595.0
DoS_TCP,0.9998414266720338,0.9984408497368934,0.9991406473789745,82096.0
DoS_UDP,0.9995125854794122,0.9988368119924683,0.9991745844741885,137553.0
DoS_connect_flood,0.9980732177263969,0.9926541041200895,0.9953562850280224,3131.0
DoS_publish_flood,0.5433503836317135,0.9991769547325103,0.7039138537999586,8505.0
Malformed_data,0.9692307692307692,0.3966800228963938,0.5629569455727051,1747.0
OS_scan,0.7181818181818181,0.04121022430881586,0.07794770596941293,3834.0
Ping_sweep,0.9655172413793104,0.6021505376344086,0.7417218543046358,186.0
Port_scan,0.8293892696225058,0.9683051896384051,0.8934799012909673,22622.0
Recon_VulScan,0.02702702702702703,0.0038684719535783366,0.00676818950930626,1034.0
accuracy,0.9880490551870855,0.9880490551870855,0.9880490551870855,0.9880490551870855
macro avg,0.8528989832692693,0.7701006888220366,0.7638818637381192,1614182.0
weighted avg,0.9900735511398325,0.9880490551870855,0.9861315091291007,1614182.0
