,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1152,74,0,0,0,0,0,0,0,0,0,1,0,0,45,2,73,0,397
1,7071,28181,0,0,0,0,0,0,0,0,0,1,0,1,827,112,1170,8,236
2,0,1,343153,0,0,1,0,14,6448,1,14,27,4,6,2,0,28,0,0
3,0,2,0,81790,4,4,2,285,140,89936,34,67,42,62,2,5,9,13,0
4,0,0,0,0,29154,0,0,7,21,2,153329,36,17,23,1,0,8,0,0
5,0,2,0,0,0,180777,0,12,66,2,58,181147,0,6,0,0,0,0,0
6,0,1,0,1,0,0,40179,39,0,1,0,0,1692,0,3,0,0,0,0
7,1,2,0,0,0,0,5,1397,0,0,7,0,1,7003,0,0,0,0,0
8,0,0,94252,0,0,0,0,8,3950,4,63,116,1,37,1,0,0,0,0
9,0,0,0,49430,4,0,2,15,0,49110,0,0,6,0,0,2,0,25,1
10,0,7,0,0,9293,0,0,0,0,0,72784,0,0,5,0,0,7,0,0
11,0,0,0,0,0,40239,0,1,7,0,11,97287,2,5,0,0,1,0,0
12,0,0,0,0,0,0,100,7,0,0,1,0,3023,0,0,0,0,0,0
13,0,0,0,0,0,0,0,5,0,0,2,0,0,8497,1,0,0,0,0
14,185,125,0,0,0,0,0,0,0,0,0,0,0,0,1349,5,79,0,4
15,164,71,0,0,0,0,0,3,0,0,0,0,0,0,192,251,103,2981,69
16,9,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,171,0,0
17,565,66,0,0,0,0,0,0,0,0,0,0,0,0,10,137,47,21087,710
18,177,72,0,0,0,0,0,0,0,0,0,1,0,0,105,14,109,208,348
