,precision,recall,f1-score,support
ARP_spoofing,0.12355212355212356,0.6605504587155964,0.20816769063968196,1744.0
BENIGN,0.9852118584813313,0.7493551732390247,0.8512482820075215,37607.0
DDoS_ICMP,0.7845200672145952,0.9812810445554605,0.8719381428629508,349699.0
DDoS_SYN,0.6232996242979402,0.47442820930758656,0.5387691111857663,172397.0
DDoS_TCP,0.7581328825900403,0.15966220878651463,0.2637738460912089,182598.0
DDoS_UDP,0.8179177544215256,0.4992874306073411,0.6200644496313611,362070.0
DDoS_connect_flood,0.9972944797458301,0.9585599770970512,0.9775436718407864,41916.0
DDoS_publish_flood,0.7791411042944786,0.16599334600760457,0.27368008619845235,8416.0
DoS_ICMP,0.3715199398043642,0.04012922626788036,0.07243453385168341,98432.0
DoS_SYN,0.35316706938211945,0.4980982808458847,0.41329512604617696,98595.0
DoS_TCP,0.3216218963071634,0.8865718183589943,0.4720119066533938,82096.0
DoS_UDP,0.3490943147076976,0.707269198054568,0.4674596443852901,137553.0
DoS_connect_flood,0.6313700918964077,0.965506228042159,0.7634802374037126,3131.0
DoS_publish_flood,0.5431128155960371,0.9990593768371546,0.7036853002070393,8505.0
Malformed_data,0.5304758159653952,0.772180881511162,0.6289044289044289,1747.0
OS_scan,0.4753787878787879,0.06546687532603025,0.11508482347546997,3834.0
Ping_sweep,0.09473684210526316,0.9193548387096774,0.17177297840281266,186.0
Port_scan,0.8669928459830606,0.9321456988771992,0.8983895705521472,22622.0
Recon_VulScan,0.1971671388101983,0.3365570599613153,0.24866023579849947,1034.0
accuracy,0.596983487611682,0.596983487611682,0.596983487611682,0.596983487611682
macro avg,0.5580898659491768,0.6195503858478003,0.5031770561125465,1614182.0
weighted avg,0.6672090403498817,0.596983487611682,0.5746442950505153,1614182.0
