,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1008,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,101,135
1,1814,34143,0,0,0,0,0,0,0,0,0,0,0,1,2,41,877,729,0
2,0,2,349603,2,5,83,1,0,0,0,0,3,0,0,0,0,0,0,0
3,0,2,38,171840,155,311,5,36,0,6,0,1,0,2,0,0,0,1,0
4,0,0,4,18,182481,94,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,86,24,38,361869,0,0,4,0,1,48,0,0,0,0,0,0,0
6,0,1,0,0,0,0,41827,3,0,1,0,0,84,0,0,0,0,0,0
7,0,3,0,0,1,0,7,1252,0,0,10,1,0,7142,0,0,0,0,0
8,0,0,149,0,9,22,0,1,98204,1,5,41,0,0,0,0,0,0,0
9,0,0,0,135,0,0,0,3,0,98456,0,0,0,0,0,0,0,1,0
10,0,0,0,0,126,0,0,0,0,0,81969,0,0,1,0,0,0,0,0
11,0,0,0,0,0,137,0,0,9,5,1,137399,0,1,0,0,1,0,0
12,0,0,0,0,0,0,61,3,0,0,1,0,3066,0,0,0,0,0,0
13,0,1,0,0,0,0,0,5,0,0,2,0,0,8497,0,0,0,0,0
14,84,888,0,0,0,0,0,0,0,0,0,0,0,0,696,4,75,0,0
15,0,447,0,0,0,0,1,0,0,0,0,0,0,0,18,163,104,3101,0
16,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,178,0,0
17,347,262,0,0,0,0,0,0,0,0,0,0,0,0,0,9,73,21891,40
18,0,488,0,0,0,0,0,0,0,0,0,0,0,0,2,1,114,424,5
