,precision,recall,f1-score,support
ARP_spoofing,0.30986781432523824,0.5779816513761468,0.4034420652391435,1744.0
BENIGN,0.9314436927106067,0.9078894886590263,0.9195157750158222,37607.0
DDoS_ICMP,0.9992082999885675,0.9997254781969637,0.9994668221887736,349699.0
DDoS_SYN,0.9989594172736732,0.9967690853089091,0.997863049335687,172397.0
DDoS_TCP,0.9981730164373821,0.9993592481845365,0.9987657800899257,182598.0
DDoS_UDP,0.9982152511889131,0.999444858728975,0.9988296765325303,362070.0
DDoS_connect_flood,0.9982101093026586,0.9978767057925375,0.9980433797036437,41916.0
DDoS_publish_flood,0.9608595548733692,0.1487642585551331,0.2576396748636691,8416.0
DoS_ICMP,0.9998676400215849,0.9976836801040312,0.9987744661808603,98432.0
DoS_SYN,0.9998578247181883,0.9985901922004159,0.9992236064242762,98595.0
DoS_TCP,0.9997560648379661,0.9984530305983239,0.9991041228631502,82096.0
DoS_UDP,0.9993090607590149,0.9988804315427507,0.999094700178515,137553.0
DoS_connect_flood,0.9733333333333334,0.979239859469818,0.9762776627925489,3131.0
DoS_publish_flood,0.543147532600358,0.9990593768371546,0.7037144395213052,8505.0
Malformed_data,0.9693593314763231,0.3983972524327418,0.5647058823529412,1747.0
OS_scan,0.7477064220183486,0.04251434533124674,0.08045409674234946,3834.0
Ping_sweep,0.11788079470198676,0.956989247311828,0.2099056603773585,186.0
Port_scan,0.8340064004876562,0.96768632304836,0.8958870472682627,22622.0
Recon_VulScan,0.027777777777777776,0.004835589941972921,0.008237232289950576,1034.0
accuracy,0.9878359441500401,0.9878359441500401,0.9878359441500401,0.9878359441500401
macro avg,0.8108915441491026,0.787902110716888,0.7373129021031953,1614182.0
weighted avg,0.9902869101115955,0.9878359441500401,0.9861205454321728,1614182.0
