,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1081,97,0,0,0,0,0,0,0,0,0,1,0,0,39,20,116,0,390
1,5500,28971,0,0,0,0,0,0,0,0,0,0,0,1,672,535,1483,112,333
2,0,6,342963,0,0,0,0,9,6630,1,7,4,16,10,2,0,50,0,1
3,0,10,0,81699,1,0,4,314,131,89989,28,5,60,107,2,20,27,0,0
4,0,1,0,0,175408,0,0,7,2,0,7052,6,26,95,1,0,0,0,0
5,0,4,0,0,1,192105,0,7,89,1,58,169782,11,11,0,0,1,0,0
6,0,0,0,2,0,0,39931,29,0,0,0,0,1950,0,4,0,0,0,0
7,1,1,0,0,0,0,5,1561,0,0,2,1,2,6842,0,1,0,0,0
8,0,0,94158,0,0,0,1,5,4039,0,44,10,17,156,1,0,1,0,0
9,0,0,0,52485,2,0,1,34,0,46028,0,0,15,0,0,28,0,2,0
10,0,0,0,0,77981,0,0,0,0,0,4104,0,1,10,0,0,0,0,0
11,0,1,0,0,0,48115,0,0,8,0,7,89409,6,5,0,0,1,0,1
12,0,0,0,0,0,0,102,5,0,0,0,0,3024,0,0,0,0,0,0
13,0,2,0,0,1,0,0,27,0,0,1,0,0,8474,0,0,0,0,0
14,89,147,0,0,0,0,0,0,0,0,0,0,0,0,1358,48,101,0,4
15,89,82,0,1,0,0,0,0,0,0,0,0,0,0,156,3209,140,106,51
16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,183,0,0
17,401,59,0,0,0,0,0,0,0,0,0,0,0,0,28,16316,88,4884,846
18,84,108,0,0,0,0,0,0,0,0,0,1,0,0,81,261,158,9,332
