,precision,recall,f1-score,support
ARP_spoofing,0.1468500443655723,0.5693807339449541,0.23348224782506466,1744.0
BENIGN,0.9821965395149976,0.7819023054218629,0.8706788067214449,37607.0
DDoS_ICMP,0.9554605346162074,0.9961681331659513,0.9753897888413363,349699.0
DDoS_SYN,0.6122231063774799,0.5221494573571466,0.5636101806342547,172397.0
DDoS_TCP,0.6889472806801673,0.9505690095181766,0.7988843271903824,182598.0
DDoS_UDP,0.8178448025931189,0.47525892783163476,0.6011707102343691,362070.0
DDoS_connect_flood,0.9975221151225314,0.9604208416833667,0.978619960375822,41916.0
DDoS_publish_flood,0.8222857142857143,0.1709838403041825,0.2831005311823726,8416.0
DoS_ICMP,0.9805861199718051,0.833854843953186,0.9012875065198891,98432.0
DoS_SYN,0.336875836612177,0.4211674019980729,0.3743351663211034,98595.0
DoS_TCP,0.29219301686936056,0.04536152796725784,0.07853143682584536,82096.0
DoS_UDP,0.34343326059818036,0.7219980661999374,0.46546059569282683,137553.0
DoS_connect_flood,0.6371829805072312,0.9709358032577451,0.7694254619083776,3131.0
DoS_publish_flood,0.5454253611556983,0.9988242210464433,0.7055647840531561,8505.0
Malformed_data,0.6237406920718354,0.8151116199198626,0.7066997518610422,1747.0
OS_scan,0.17603772236907908,0.6426708398539385,0.27637260950030845,3834.0
Ping_sweep,0.07060629316960859,0.989247311827957,0.1318051575931232,186.0
Port_scan,0.9202892001807501,0.45013703474493855,0.604565559414611,22622.0
Recon_VulScan,0.16200361010830325,0.3471953578336557,0.22092307692307692,1034.0
accuracy,0.6869782961276981,0.6869782961276981,0.6869782961276981,0.6869782961276981
macro avg,0.584826538482622,0.6664914356752775,0.5547319820851793,1614182.0
weighted avg,0.7297032931727333,0.6869782961276981,0.6808901297702906,1614182.0
