experiment,error,status,accuracy,macro_f1,weighted_f1
binary_augTrue_cwTrue,numpy() is only available when eager execution is enabled.,failed,,,
binary_augTrue_cwFalse,,,0.996444638832548,0.9630319994330354,0.9965397645439139
binary_augFalse_cwTrue,,,0.9958623005336449,0.9569431999344251,0.9959714754652617
binary_augFalse_cwFalse,,,0.9962358643573029,0.9581474074795963,0.996213207438665
6class_augTrue_cwTrue,,,0.9917853129324946,0.8386077899091654,0.9940888298537823
6class_augTrue_cwFalse,,,0.988844504523034,0.8144885799639131,0.9922885054110921
6class_augFalse_cwTrue,,,0.7883417111577257,0.7550839607665046,0.800155403543376
6class_augFalse_cwFalse,,,0.9956578626202002,0.8761508109585536,0.996019990063601
19class_augTrue_cwTrue,,,0.6373277610579229,0.48995599434873766,0.6100324164138905
19class_augTrue_cwFalse,,,0.9878359441500401,0.7373129021031953,0.9861205454321728
19class_augFalse_cwTrue,,,0.596983487611682,0.5031770561125465,0.5746442950505153
19class_augFalse_cwFalse,,,0.9880490551870855,0.7638818637381192,0.9861315091291007
