,ARP_spoofing,BENIGN,DDoS_ICMP,DDoS_SYN,DDoS_TCP,DDoS_UDP,DDoS_connect_flood,DDoS_publish_flood,DoS_ICMP,DoS_SYN,DoS_TCP,DoS_UDP,DoS_connect_flood,DoS_publish_flood,Malformed_data,OS_scan,Ping_sweep,Port_scan,Recon_VulScan
ARP_spoofing,88,1536,0,1,5,0,1,0,32,1,3,1,0,67,0,0,0,9,0
BENIGN,258,36782,25,1,28,0,8,2,104,1,9,3,0,343,1,0,1,41,0
DDoS_ICMP,0,7,349150,0,21,62,2,2,174,0,2,11,0,1,0,0,0,267,0
DDoS_SYN,8,137,32,166503,110,68,13,29,76,4446,1,15,0,66,0,0,0,893,0
DDoS_TCP,0,3,55,1,179145,983,8,0,14,3,3,12,0,41,0,0,0,2330,0
DDoS_UDP,0,89,1,0,25,306295,5,1,43,0,6,55578,0,27,0,0,0,0,0
DDoS_connect_flood,0,10,0,4,0,0,41617,72,0,38,0,0,174,0,0,0,0,1,0
DDoS_publish_flood,0,8,1,0,18,1,19,236,1,5,0,2,2,8123,0,0,0,0,0
DoS_ICMP,0,11,97494,0,66,7,4,0,737,0,2,69,0,6,0,0,0,36,0
DoS_SYN,0,0,0,70311,1,0,9,0,0,27994,0,0,0,0,0,0,0,280,0
DoS_TCP,0,0,17,0,80671,455,0,0,21,0,319,3,0,80,0,0,0,530,0
DoS_UDP,0,5,1,0,8,99336,0,0,12,3,1,38182,0,2,0,0,0,0,0
DoS_connect_flood,0,0,0,2,0,0,1846,1,1,27,0,0,1254,0,0,0,0,0,0
DoS_publish_flood,0,2,0,0,21,0,0,0,0,0,0,2,0,8480,0,0,0,0,0
Malformed_data,30,1449,13,0,3,0,165,0,45,3,0,2,0,24,12,0,0,1,0
OS_scan,0,644,3,0,1,0,12,0,0,0,0,0,0,1,1,16,0,3156,0
Ping_sweep,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
Port_scan,64,1315,1,0,8,0,0,0,10,16,6,1,0,47,5,7,0,21142,0
Recon_VulScan,0,595,0,0,1,0,9,0,2,0,0,5,0,2,1,42,0,377,0
