,precision,recall,f1-score,support
ARP_spoofing,0.19642857142857142,0.05045871559633028,0.08029197080291971,1744.0
BENIGN,0.8601964452759588,0.9780625947297046,0.9153508280762004,37607.0
DDoS_ICMP,0.78145808014002,0.998430078438886,0.8767194146331664,349699.0
DDoS_SYN,0.7030693809300617,0.9658114700371816,0.8137578808464885,172397.0
DDoS_TCP,0.6886695985115249,0.9810896066769625,0.80927427551781,182598.0
DDoS_UDP,0.7521850066428131,0.8459552020327561,0.7963191412196127,362070.0
DDoS_connect_flood,0.9519419918569011,0.9928666857524573,0.9719737487446575,41916.0
DDoS_publish_flood,0.6880466472303207,0.028041825095057035,0.05388743007192602,8416.0
DoS_ICMP,0.5794025157232704,0.007487402470741223,0.014783759929390997,98432.0
DoS_SYN,0.8603743430555982,0.28392920533495614,0.42695909465271636,98595.0
DoS_TCP,0.90625,0.003885694796335997,0.007738210751018824,82096.0
DoS_UDP,0.40668470272458085,0.2775863322428208,0.3299573100122712,137550.0
DoS_connect_flood,0.8769230769230769,0.40051101884381984,0.5498794124095593,3131.0
DoS_publish_flood,0.4898902368573079,0.9970605526161082,0.6569823745884176,8505.0
Malformed_data,0.6,0.006868918145392101,0.013582342954159592,1747.0
OS_scan,0.24615384615384617,0.004173187271778821,0.008207232623749679,3834.0
Ping_sweep,0.95,0.10215053763440861,0.18446601941747573,186.0
Port_scan,0.7274541513264288,0.9345769604809477,0.8181097030086099,22622.0
Recon_VulScan,0.0,0.0,0.0,1034.0
accuracy,0.729764790645895,0.729764790645895,0.729764790645895,0.729764790645895
macro avg,0.6455330839358041,0.46626031516824445,0.43832842896106056,1614179.0
weighted avg,0.7240190091135293,0.729764790645895,0.6654832416812324,1614179.0
