,ARP_spoofing,BENIGN,DDoS_ICMP,DDoS_SYN,DDoS_TCP,DDoS_UDP,DDoS_connect_flood,DDoS_publish_flood,DoS_ICMP,DoS_SYN,DoS_TCP,DoS_UDP,DoS_connect_flood,DoS_publish_flood,Malformed_data,OS_scan,Ping_sweep,Port_scan,Recon_VulScan
ARP_spoofing,349,1008,0,0,0,0,0,0,1,0,3,0,0,9,117,1,48,0,208
BENIGN,1220,32385,0,0,0,0,6,16,3,0,3,0,0,568,2054,18,1009,8,317
DDoS_ICMP,4,12,97031,0,1,0,9,5,252428,2,15,12,5,72,6,0,96,0,1
DDoS_SYN,63,92,1,157197,0,0,42,325,1,13361,0,0,16,232,59,7,35,963,3
DDoS_TCP,0,0,0,0,177261,0,41,0,16,0,5048,14,1,200,3,6,7,1,0
DDoS_UDP,57,156,0,0,20,356372,11,1,3,4,54,5217,2,122,18,1,0,3,29
DDoS_connect_flood,0,1,0,0,1,0,36098,173,0,18,1,0,5619,0,4,0,1,0,0
DDoS_publish_flood,1,0,0,0,0,0,6,718,0,0,1,0,15,7674,0,0,0,1,0
DoS_ICMP,56,55,15398,0,0,0,99,0,82529,5,4,100,1,149,25,0,11,0,0
DoS_SYN,0,0,0,60037,0,0,16,62,0,38043,0,0,1,0,0,14,0,421,1
DoS_TCP,1,1,0,0,77648,0,11,0,42,0,4165,4,0,202,2,0,14,1,5
DoS_UDP,2,46,0,0,14,135850,11,1,0,0,7,1591,0,10,12,0,1,5,0
DoS_connect_flood,0,0,0,0,0,0,53,2,0,2,0,0,3074,0,0,0,0,0,0
DoS_publish_flood,0,2,0,0,0,0,2,0,0,0,0,0,33,8468,0,0,0,0,0
Malformed_data,44,901,0,0,0,0,156,0,1,0,0,0,12,44,512,0,63,0,14
OS_scan,12,268,0,0,0,0,7,11,0,1,1,0,2,3,250,118,105,3003,53
Ping_sweep,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,163,0,0
Port_scan,291,632,0,0,0,0,0,23,0,1,0,2,0,4,54,108,37,20943,527
Recon_VulScan,10,280,0,0,0,0,1,1,0,0,0,0,1,1,200,24,58,204,254
