,precision,recall,f1-score,support
ARP_spoofing,0.16540284360189572,0.20011467889908258,0.1811105345096004,1744.0
BENIGN,0.9034228805757804,0.8611428723375967,0.8817763498243799,37607.0
DDoS_ICMP,0.8630347771946989,0.27747005281685105,0.41993036576367204,349699.0
DDoS_SYN,0.7236298185366932,0.9118314123795658,0.8069019148887024,172397.0
DDoS_TCP,0.695291141226539,0.9707718594946275,0.8102563633745712,182598.0
DDoS_UDP,0.7240066474070643,0.9842627116303477,0.834309580330847,362070.0
DDoS_connect_flood,0.9871202384533347,0.8611985876514935,0.9198700388609289,41916.0
DDoS_publish_flood,0.5366218236173393,0.08531368821292776,0.1472216526553209,8416.0
DoS_ICMP,0.24633757581546398,0.8384366872561768,0.3807952825661659,98432.0
DoS_SYN,0.7396037871571048,0.38585120949338203,0.5071318118801322,98595.0
DoS_TCP,0.4477531713609976,0.05073328785811733,0.09113984988730607,82096.0
DoS_UDP,0.2292507204610951,0.011566703017084696,0.02202228527925808,137550.0
DoS_connect_flood,0.35003416078342064,0.9817949536889172,0.5160748761856795,3131.0
DoS_publish_flood,0.4768555017456921,0.9956496178718401,0.6448615923542627,8505.0
Malformed_data,0.1537075953167217,0.29307384087006294,0.20165419456478928,1747.0
OS_scan,0.39730639730639733,0.030777256129368807,0.05712902444928589,3834.0
Ping_sweep,0.09890776699029126,0.8763440860215054,0.1777535441657579,186.0
Port_scan,0.8195906547176457,0.9257802139510212,0.8694551115723923,22622.0
Recon_VulScan,0.17988668555240794,0.24564796905222436,0.20768601798855274,1034.0
accuracy,0.630209536860534,0.630209536860534,0.630209536860534,0.630209536860534
macro avg,0.512513904622136,0.5677769309806419,0.4566884416369266,1614179.0
weighted avg,0.6733820747252695,0.630209536860534,0.5791441210063654,1614179.0
