,ARP_spoofing,BENIGN,DDoS_ICMP,DDoS_SYN,DDoS_TCP,DDoS_UDP,DDoS_connect_flood,DDoS_publish_flood,DoS_ICMP,DoS_SYN,DoS_TCP,DoS_UDP,DoS_connect_flood,DoS_publish_flood,Malformed_data,OS_scan,Ping_sweep,Port_scan,Recon_VulScan
ARP_spoofing,20,1289,0,0,1,0,0,0,77,2,0,0,0,11,0,0,333,11,0
BENIGN,16,23848,11,0,3,1,93,2,75,1,1,1,0,531,4,0,12975,44,1
DDoS_ICMP,0,4,349169,0,7,1,1,2,422,0,0,6,0,1,0,0,86,0,0
DDoS_SYN,0,90,42,166216,4,8,23,19,65,5594,2,12,0,64,0,0,235,23,0
DDoS_TCP,0,1,10716,0,171726,0,0,1,0,0,9,0,0,4,0,0,133,8,0
DDoS_UDP,0,110,12,0,46,332199,0,0,23,0,4,29616,0,29,0,0,31,0,0
DDoS_connect_flood,0,2,17,4,1,12,41717,4,0,147,0,0,10,0,0,0,0,2,0
DDoS_publish_flood,0,1,0,0,9,1,35,228,0,10,4,2,0,4821,0,0,3305,0,0
DoS_ICMP,0,12,97418,0,16,3,0,0,753,0,0,22,0,12,0,0,196,0,0
DoS_SYN,0,0,199,67385,2,0,6,1,0,30971,0,0,0,0,0,0,0,31,0
DoS_TCP,0,2,3697,0,78170,0,0,0,29,0,142,0,0,41,0,0,1,14,0
DoS_UDP,0,0,11,0,10,111323,0,0,10,0,0,26185,0,6,0,0,5,0,0
DoS_connect_flood,0,0,0,11,0,0,3042,23,1,51,0,0,3,0,0,0,0,0,0
DoS_publish_flood,0,3,0,0,6,0,1,1,0,0,4,0,0,6442,0,0,2048,0,0
Malformed_data,15,785,16,0,1,1,241,1,40,4,0,0,0,54,81,1,480,27,0
OS_scan,0,161,0,38,0,13,6,4,0,18,0,0,0,0,4,9,515,3066,0
Ping_sweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0
Port_scan,11,1224,0,538,90,44,1,6,7,418,0,0,0,2,0,7,203,20071,0
Recon_VulScan,0,105,0,77,0,2,1,0,0,1,0,0,0,0,4,93,517,233,1
