,precision,recall,f1-score,support
ARP_spoofing,0.3225806451612903,0.011467889908256881,0.0221483942414175,1744.0
BENIGN,0.8629011831964396,0.6341372616800064,0.7310404021825762,37607.0
DDoS_ICMP,0.756910784118203,0.9984844108790702,0.8610751818418336,349699.0
DDoS_SYN,0.7095091540067188,0.9641467078893484,0.8174570777984882,172397.0
DDoS_TCP,0.6866513123170673,0.9404593697630861,0.7937599667198225,182598.0
DDoS_UDP,0.7488570990604317,0.9174993785732041,0.824644585057554,362070.0
DDoS_connect_flood,0.9236167998760156,0.9952524095810669,0.958097447262956,41916.0
DDoS_publish_flood,0.7808219178082192,0.02709125475285171,0.05236564079007809,8416.0
DoS_ICMP,0.5013315579227696,0.007649951235370611,0.015069946164468549,98432.0
DoS_SYN,0.8321734691135771,0.3141234342512298,0.4560863546667452,98595.0
DoS_TCP,0.8554216867469879,0.001729682323133892,0.003452383846733607,82096.0
DoS_UDP,0.4688954945920779,0.19036713922210105,0.27079433694944,137550.0
DoS_connect_flood,0.23076923076923078,0.0009581603321622484,0.0019083969465648854,3131.0
DoS_publish_flood,0.5360292893992344,0.7574368018812463,0.6277834624567559,8505.0
Malformed_data,0.8709677419354839,0.04636519748139668,0.08804347826086957,1747.0
OS_scan,0.08181818181818182,0.002347417840375587,0.004563894523326572,3834.0
Ping_sweep,0.008753353098969364,1.0,0.017354793561931422,186.0
Port_scan,0.8529961750956226,0.8872336663424985,0.8697781244583117,22622.0
Recon_VulScan,0.5,0.0009671179883945841,0.0019305019305019305,1034.0
accuracy,0.7248062327660068,0.7248062327660068,0.7248062327660068,0.7248062327660068
macro avg,0.6068950040019221,0.4577745922065684,0.3903870720873882,1614179.0
weighted avg,0.7154583205947332,0.7248062327660068,0.6584609424159201,1614179.0
