,ARP_spoofing,BENIGN,DDoS_ICMP,DDoS_SYN,DDoS_TCP,DDoS_UDP,DDoS_connect_flood,DDoS_publish_flood,DoS_ICMP,DoS_SYN,DoS_TCP,DoS_UDP,DoS_connect_flood,DoS_publish_flood,Malformed_data,OS_scan,Ping_sweep,Port_scan,Recon_VulScan
ARP_spoofing,159,1011,0,0,0,0,0,5,0,0,1,1,1,87,12,0,336,0,131
BENIGN,600,13826,0,0,0,0,6,33,11,3,4,0,10,736,82,4,21948,40,304
DDoS_ICMP,4,6,133370,0,0,0,3,1,215983,2,21,82,1,100,30,6,84,5,1
DDoS_SYN,4,106,1,80013,0,0,7,24,3,91752,0,3,5,98,76,16,248,30,11
DDoS_TCP,3,3,99,0,179269,0,1,0,7,2,2862,10,0,208,3,0,131,0,0
DDoS_UDP,21,151,0,0,8,201687,6,1,23,0,26,159848,0,167,22,0,16,7,87
DDoS_connect_flood,1,2,0,10,0,0,17225,2,0,135,0,0,20263,2,4022,85,10,76,83
DDoS_publish_flood,0,0,0,0,0,0,2,580,0,7,2,0,2,6973,0,0,850,0,0
DoS_ICMP,31,21,25405,0,0,0,5,0,72385,1,68,140,0,89,84,1,196,1,5
DoS_SYN,0,0,0,46185,0,0,10,0,0,52366,0,0,0,0,0,6,0,28,0
DoS_TCP,1,2,323,0,79061,0,3,0,20,6,2346,6,0,300,18,0,0,0,10
DoS_UDP,6,19,0,0,8,53835,9,0,0,0,4,83620,1,15,10,2,5,7,9
DoS_connect_flood,0,0,0,0,0,0,144,1,0,17,0,0,2846,1,0,0,122,0,0
DoS_publish_flood,0,1,0,0,0,0,1,0,0,0,7,0,0,7269,0,0,1227,0,0
Malformed_data,18,643,0,0,0,0,8,4,0,0,0,0,41,86,405,7,516,1,18
OS_scan,27,56,0,0,0,0,2,8,0,7,0,0,3,3,47,30,514,3029,108
Ping_sweep,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,2
Port_scan,71,786,0,9,0,0,0,8,0,91,0,0,0,83,50,207,86,20658,573
Recon_VulScan,12,58,0,0,0,0,0,2,0,3,0,0,0,5,8,4,429,204,309
