,precision,recall,f1-score,support
ARP_spoofing,0.16579770594369134,0.0911697247706422,0.11764705882352941,1744.0
BENIGN,0.8283506081121562,0.3676443215358843,0.5092636929537,37607.0
DDoS_ICMP,0.837761780926896,0.3813851340724452,0.5241532176452209,349699.0
DDoS_SYN,0.6339320376811365,0.4641206053469608,0.5358958387751411,172397.0
DDoS_TCP,0.6939104921307084,0.9817686940711289,0.8131145905148953,182598.0
DDoS_UDP,0.7893136403127715,0.5570386941751595,0.6531399370458166,362070.0
DDoS_connect_flood,0.9881252868288206,0.41094092947800365,0.5804744894520456,41916.0
DDoS_publish_flood,0.866965620328849,0.06891634980988594,0.12768299394606494,8416.0
DoS_ICMP,0.2509603650080435,0.7353807704811444,0.37421419413540674,98432.0
DoS_SYN,0.36266552163554766,0.5311222678634819,0.4310189434002642,98595.0
DoS_TCP,0.43924358734319413,0.02857630091600078,0.05366149341811819,82096.0
DoS_UDP,0.343112715932871,0.607924391130498,0.43865078948748887,137550.0
DoS_connect_flood,0.1228153454451301,0.9089747684445864,0.21639294403892945,3131.0
DoS_publish_flood,0.448095179386019,0.854673721340388,0.5879403081651636,8505.0
Malformed_data,0.08317929759704251,0.2318259874069834,0.12243047158403869,1747.0
OS_scan,0.08152173913043478,0.00782472613458529,0.014278914802475012,3834.0
Ping_sweep,0.006802721088435374,0.9838709677419355,0.013512016834643925,186.0
Port_scan,0.8576766586398737,0.9131818583679604,0.8845593902543462,22622.0
Recon_VulScan,0.18715929739551787,0.2988394584139265,0.23016759776536314,1034.0
accuracy,0.5380729150856256,0.5380729150856256,0.5380729150856256,0.5380729150856256
macro avg,0.4730205053087968,0.4960620879737684,0.38043152016013965,1614179.0
weighted avg,0.6584566561187076,0.5380729150856256,0.5424871370194447,1614179.0
