experiment,status,test_loss,test_accuracy,macro_f1,weighted_f1,error
transformer_binary_augTrue_cwTrue_win4,success,0.18209972977638245,0.9819542937926958,0.8557549764599788,0.9843890349927895,
transformer_binary_augTrue_cwFalse_win4,success,0.18792232871055603,0.9805461476081649,0.8477008502406821,0.9833130878975314,
transformer_binary_augFalse_cwTrue_win4,success,0.022788766771554947,0.9949317888536525,0.9496143552820536,0.9951721940667475,
transformer_binary_augFalse_cwFalse_win4,success,0.010202518664300442,0.9960029216090657,0.9579481869666289,0.9960875786102675,
transformer_6class_augTrue_cwTrue_win4,success,0.9988335967063904,0.5480191478144617,0.4944564858297253,0.5754238963567926,
transformer_6class_augTrue_cwFalse_win4,success,0.9124398827552795,0.7192609989350623,0.48692794599533934,0.6602026033588358,
transformer_6class_augFalse_cwTrue_win4,success,0.6209391355514526,0.6364659681485139,0.7084003605504242,0.6516995591910857,
transformer_6class_augFalse_cwFalse_win4,success,0.549613356590271,0.7503857998400425,0.6547193584471815,0.6893015989312841,
transformer_19class_augTrue_cwTrue_win4,success,0.8760414719581604,0.5380729150856256,0.38043152016013965,0.5424871370194447,
transformer_19class_augTrue_cwFalse_win4,success,0.7344411015510559,0.7248062327660068,0.3903870720873882,0.6584609424159201,
transformer_19class_augFalse_cwTrue_win4,success,0.6956931352615356,0.630209536860534,0.4566884416369266,0.5791441210063654,
transformer_19class_augFalse_cwFalse_win4,success,0.6206936240196228,0.729764790645895,0.43832842896106056,0.6654832416812324,
